Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
timestamp,,,,,
2015-01-02,26.35151481628418,26.662527868700302,26.268410321522673,26.503287439452063,26480000
2015-01-05,25.849414825439453,26.273885771708642,25.764322836130155,26.232085798376406,41182000
2015-01-06,25.21146583557129,25.936497948150002,25.157224580764094,25.90116728970276,54456000
2015-01-07,25.13732147216797,25.452812586136073,25.062679470156286,25.425942528444878,46918000
2015-01-08,25.224903106689453,25.254261799553323,24.633230341996608,24.9561873531382,73054000
2015-01-09,24.916873931884766,25.30900021794025,24.813867935562797,25.288100230480932,42000000
2015-01-12,24.7347469329834,24.894980176137008,24.42870922148024,24.843227553129108,57138000
2015-01-13,24.97061538696289,25.30899773013339,24.74469622592804,25.00893202687188,60958000
2015-01-14,25.176132202148438,25.292078716529858,24.789482467672684,24.901943752839887,52800000
2015-01-15,25.080591201782227,25.36622435009624,24.98106664317948,25.323429682085397,51068000
2015-01-16,25.40155601501465,25.420962059892116,25.034807773170588,25.037793756599353,49658000
2015-01-20,25.375680923461914,25.657832653151154,25.3473169258771,25.516508114522328,46796000
2015-01-21,25.895694732666016,25.96834733847556,25.35826324973092,25.42046586220361,46356000
2015-01-22,26.737171173095703,26.8138044588719,25.97133376461755,26.02557312241996,56068000
2015-01-23,26.968563079833984,27.140740236112272,26.660038669867784,26.77349654790352,45966000
2015-01-26,26.708309173583984,26.946172280809225,26.47691538098644,26.946172280809225,30932000
2015-01-27,25.935503005981445,26.512245817096385,25.919081045777528,26.443573891037325,39148000
2015-01-28,25.49958610534668,26.159431481356126,25.495605426947783,26.12509552004032,35822000
2015-01-29,25.539398193359375,25.636931463844675,25.054216680385302,25.52297623300577,79018000
2015-01-30,26.749610900878906,27.025790640778997,25.785719120905785,25.826524397480757,121108000
2015-02-02,26.48338508605957,26.697362226380704,25.96187821225495,26.588879715290837,75378000
2015-02-03,26.538124084472656,26.744635319769706,26.215167080698766,26.370922289105483,47062000
2015-02-04,26.17983627319336,26.709801856826733,26.12658971226051,26.530160678669176,33896000
2015-02-05,26.365447998046875,26.408242664891617,26.156943588378695,26.27089881572773,33176000
2015-02-06,26.566984176635742,26.88247525732463,26.306729044814695,26.424167604600843,42938000
2015-02-09,26.33808135986328,26.566986532757863,26.251992771669443,26.426656685957802,30314000
2015-02-10,26.87948989868164,26.92128987195623,26.332605016732696,26.4808962116572,47430000
2015-02-11,26.772005081176758,26.96856557211133,26.672480517652865,26.858093667271707,38306000
2015-02-12,27.17060089111328,27.286545518362946,26.722243953387505,26.85461054187322,48590000
2015-02-13,27.4268741607666,27.495546088132038,27.199958391930654,27.24524169653322,47382000
2015-02-17,27.12083625793457,27.518435248684497,27.03375298053748,27.42687394509929,39174000
2015-02-18,27.00339698791504,27.247232056508214,26.849135728647646,27.061618919926634,31164000
2015-02-19,27.192493438720703,27.212896077202476,26.908849686653017,26.994440919115306,30834000
2015-02-20,26.96109962463379,27.248724054948035,26.776980429222853,27.248724054948035,38234000
2015-02-23,26.622718811035156,26.83669595521,26.473432916983043,26.82176793528673,32906000
2015-02-24,26.804349899291992,26.841669947178787,26.423668326389357,26.451037627021698,28406000
